date,Instrument,Buy Time,Buy Price (Avg),Sell Price (Avg),Qty,Pt,Rs,Net P/L,Gross P/L,Day P&L,Broker,Note,Brokerage,Image Tags,Other Charges,Sell Time,Sequence,Tags,Thumbnail,Total Fees,Total Trades,TradeType,Video,audios,imageTags,tags,trade_date,videos,fill_count,marqueeBoxes,observation,overlays,csvlog,note,subImages,fabricData,tradeReview,groupNames,heroImage,tradeLogger,_placeholder,_placeholderLabel,tradeTags,tagPins,imagePins
2026-02-25,NIFTY2630225600CE,09:57:37,157.9,150.5,130,-7.4,-962,-1046,-962,-962,zerodha,,40,,44,09:38:55,t1,[],,84,,sell,,{},{},[],2026-02-25,{},,,,,,,,,,,,,,,,,
2026-02-25,NIFTY2630225600PE,10:07:48,112.65,122.9,130,10.25,1332.5,1256.19,1332.5,370.5,zerodha,,40,,36.31,09:57:55,t2,[],,76.31,,sell,,{},{},[],2026-02-25,{},,,,,,,,,,,,,,,,,
2026-02-25,NIFTY2630225650CE,11:22:29,129.05,154.75,130,25.7,3341,3257.89,3341,3711.5,zerodha,,40,,43.11,10:20:17,t3,[],,83.11,,sell,,{},{},[],2026-02-25,{},,,,,,,,,,,,,,,,,
2026-02-13,NIFTY 17 FEB 25550 CALL,09:53:45,129.25,121.55,65,-7.7,-500.5,-562.63,-500.5,-500.5,dhan,,40,,22.13,09:55:46,t1,[],,62.13,,buy,,{},{},[],2026-02-13,{},2,,,,,,,,,,,,,,,,
2026-02-13,NIFTY2621725650PE,10:17:21,164.6,142.15,65,-22.45,-1459.25,-1524.28,-1459.25,-1959.75,zerodha,,40,,25.03,09:42:19,t2,[],,65.03,,sell,,{},{},[],2026-02-13,{},,,,{'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381777/trading_journal/a4500dd7-b69d-4d83-a84f-ec0e9c127ce5.png': 'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381761/trading_journal/9eaf6135-3466-4a47-baef-bcae0004221a.png'},"{'body_vitals': {'alertness': 1, 'neend': 1}, 'entry': {'entry_candle_20': 'N', 'sl_10': 'N'}, 'exit': {'actual_target_moved': 'Y', 'actual_trail': '1'}, 'psy': {'desperate_in': 12, 'desperate_out': 14, 'inpulsive_in': 16, 'inpulsive_out': 14}}",,,,,,,,,,,,
2026-02-13,NIFTY 17 FEB 25550 CALL,10:36:59,126,122.1,65,-3.9,-253.5,-315.59,-253.5,-2213.25,dhan,,40,,22.09,10:47:42,t3,[],,62.09,,buy,,{},{},[],2026-02-13,{},2,,,,,,,,,,,,,,,,
2026-02-13,NIFTY2621725600PE,11:09:40,120.5,104.5,65,-16,-1040,-1100.29,-1040,-3253.25,zerodha,,40,,20.29,10:38:58,t4,[],,60.29,,sell,,{},{},[],2026-02-13,{},,,,,"{'body_vitals': {'alertness': 1, 'neend': 1}, 'entry': {'entry_candle_20': 'N', 'sl_10': 'N'}, 'exit': {'actual_target_moved': 'Y', 'actual_trail': '1'}, 'psy': {'desperate_in': 13, 'desperate_out': 18, 'inpulsive_in': 17, 'inpulsive_out': 13}}",,,,,,,,,,,,
2026-02-13,NIFTY2621725700PE,11:41:09,191.7,178.45,65,-13.25,-861.25,-930.4,-861.25,-4114.5,zerodha,,40,,29.15,11:11:44,t5,[],,69.15,,sell,,{},{},[],2026-02-13,{},,,,,"{'body_vitals': {'alertness': 3, 'neend': 1}, 'entry': {'entry_candle_20': 'N', 'sl_10': 'N'}, 'exit': {'actual_target_moved': 'Y', 'actual_trail': '1'}, 'psy': {'desperate_in': 15, 'desperate_out': 15, 'inpulsive_in': 11, 'inpulsive_out': 16, 'sabar_out': 17}}",,,,,,,,,,,,
2026-02-13,NIFTY2621725550PE,12:59:40,89.85,91.85,65,2,130,71.76,130,-3984.5,zerodha,,40,,18.24,11:44:34,t6,[],,58.24,,sell,,{},{},[],2026-02-13,{},,,,,{'entry': {'entry_candle_20': 'N'}},,,,,,,,,,,,
2026-02-13,NIFTY2621725550PE,13:23:09,83.85,92.2,65,8.35,542.75,484.65,542.75,-3441.75,zerodha,,40,,18.1,13:04:34,t7,[],,58.1,,sell,,{},{},[],2026-02-13,{},,,,,,,,,,,,,,,,,
2026-02-13,NIFTY2621725550PE,14:34:44,111.35,97.75,65,-13.6,-884,-943.41,-884,-4325.75,zerodha,,40,,19.41,14:05:27,t8,[],,59.41,,sell,,{},{},[],2026-02-13,{},,,,,{'body_vitals': {}},,,,,,,,,,,,
2026-02-12,NIFTY2621725900PE,09:58:01,115.3,133.4,65,18.1,1176.5,1113.7,1176.5,1176.5,zerodha,,40,,22.8,09:45:09,t1,[],,62.8,,sell,,{},{},[],2026-02-12,{},,,,,"{'entry': {'any_entry_skip': 'N', 'at': 'Breakout se pehle', 'confused': 44}, 'exit': {}, 'psy': {'sabar_in': 42, 'sabar_out': 24}}",,,,,,,,,,,,
2026-02-12,NIFTY2621725900CE,10:21:05,112.9,100.85,65,-12.05,-783.25,-842.98,-783.25,393.25,zerodha,,40,,19.73,10:08:07,t2,[],,59.73,,sell,,{},{},[],2026-02-12,{},,,,,"{'body_vitals': {'alertness': 5, 'neend': 5, 'potty': 5, 'sabar': 4}, 'entry': {'any_entry_skip': 'N', 'confused': 70}, 'exit': {}, 'psy': {'desperate_in': 50, 'desperate_out': 78, 'distracted_in': 54, 'inpulsive_in': 74, 'inpulsive_out': 15}}",,,,,,,,,,,,
2026-02-12,NIFTY2621725900CE,11:41:24,89.95,106.25,65,16.3,1059.5,999.93,1059.5,1452.75,zerodha,,40,,19.57,10:25:48,t3,[],,59.57,,sell,,{},{},[],2026-02-12,{},,,,,"{'entry': {'any_entry_skip': 'N', 'confused': 97}, 'exit': {}, 'psy': {'desperate_in': 19, 'desperate_out': 48, 'distracted_in': 22, 'inpulsive_in': 66, 'inpulsive_out': 26, 'sabar_in': 76, 'sabar_out': 23}}",,,,,,,,,,,,
2026-02-12,NIFTY 17 FEB 25850 PUT,11:54:26,113.05,103.35,130,-9.7,-1261,-1333.77,-1261,191.75,dhan,,40,,32.77,12:18:43,t4,[],,72.77,,buy,,{},{},[],2026-02-12,{},2,,,,,,,,,,,,,,,,
2026-02-12,NIFTY 17 FEB 25900 PUT,12:56:02,118.05,117.65,195,-0.4,-78,-167.94,-78,113.75,dhan,,40,,49.94,12:56:12,t5,[],,89.94,,buy,,{},{},[],2026-02-12,{},2,,,,,,,,,,,,,,,,
2026-02-12,NIFTY 17 FEB 25900 PUT,13:09:04,125.25,125.5,130,0.25,32.5,-45.05,32.5,146.25,dhan,,40,,37.55,13:09:14,t6,[],,77.55,,buy,,{},{},[],2026-02-12,{},2,,,,,,,,,,,,,,,,
2026-02-12,NIFTY2621725900CE,13:25:13,96.8,91.1,65,-5.7,-370.5,-428.87,-370.5,-224.25,zerodha,,40,,18.37,13:20:38,t7,[],,58.37,,sell,,{},{},[],2026-02-12,{},,,,,"{'body_vitals': {}, 'exit': {}, 'psy': {}}",,,,,,,,,,,,
2026-02-12,NIFTY2621725950CE,14:20:24,65.9,70.85,65,4.95,321.75,266.13,321.75,97.5,zerodha,,40,,15.62,13:42:04,t8,[],,55.62,,sell,,{},{},[],2026-02-12,{},,,,,"{'entry': {'algosignal': 'Y', 'any_entry_skip': 'N', 'at': 'Breakout pe', 'confused': 47}, 'psy': {'desperate_in': 89, 'desperate_out': 77, 'sabar_in': 65, 'sabar_out': 27}}",,,,,,,,,,,,
2026-02-12,NIFTY 17 FEB 25800 CALL,14:24:03,139.85,132.75,130,-7.1,-923,-1002.73,-923,-825.5,dhan,,40,,39.73,14:28:21,t9,[],,79.73,,buy,,{},{},[],2026-02-12,{},2,,,,,,,,,,,,,,,,
2026-02-12,NIFTY2621725850PE,14:38:45,106.35,101.95,65,-4.4,-286,-345.65,-286,-1111.5,zerodha,,40,,19.65,14:21:37,t10,[],,59.65,,sell,,{},{},[],2026-02-12,{},,,,,,,,,,,,,,,,,
2026-02-12,NIFTY2621725750CE,14:49:21,141.2,162,65,20.8,1352,1285.83,1352,240.5,zerodha,,40,,26.17,14:45:44,t11,[],,66.17,,sell,,{},{},[],2026-02-12,{},,,,,,,,,,,,,,,,,
2026-02-16,NIFTY2621725550PE,09:57:44,113.85,135.15,65,21.3,1384.5,1321.58,1384.5,1384.5,zerodha,,40,,22.92,09:54:08,t1,[],,62.92,,sell,,{},{},[],2026-02-16,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25650PE,10:12:34,166.4,153.65,130,-12.75,-1657.5,-1742.57,-1657.5,-1657.5,zerodha,,40,Panicyy,45.07,09:54:32,t1,[],,85.07,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25400CE,10:27:36,121.15,123.975,130,2.825,367.25,290.25,367.25,-1290.25,zerodha,,40,Panicyy,37,10:12:52,t2,[],,77,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25400CE,10:32:08,128.8,127.65,130,1.15,149.5,-227.62,-149.5,-1140.75,zerodha,,40,Panicyy,38.12,10:32:17,t3,[],,78.12,,buy,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY 24 FEB 25500 CALL,10:33:03,57.8,46.65,65,-11.15,-724.75,-777.92,-724.75,-1865.5,dhan,,40,Panicyy,13.17,10:48:03,t4,[],,53.17,,buy,,{},{},[],2026-02-24,{},2,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25600PE,10:48:04,130.95,120.35,130,-10.6,-1378,-1454.9,-1378,-3243.5,zerodha,,40,Panicyy,36.9,10:29:48,t5,[],,76.9,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25350CE,10:58:21,133.6,139.95,130,6.35,825.5,744.84,825.5,-2418,zerodha,,40,Panicyy,40.66,10:48:46,t6,[],,80.66,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY 24 FEB 25500 CALL,11:12:02,59.65,37.8,65,-21.85,-1420.25,-1472.66,-1420.25,-3838.25,dhan,,40,Panicyy,12.41,11:57:02,t7,[],,52.41,,buy,,{},{},[],2026-02-24,{},2,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25650PE,11:15:08,153.45,162.55,130,9.1,1183,1097.04,1183,-2655.25,zerodha,,40,Panicyy,45.96,11:09:14,t8,[],,85.96,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25650PE,11:15:08,153.65,154.1,130,-0.45,-58.5,-25.92,58.5,-2713.75,zerodha,,40,Panicyy,44.42,11:15:36,t9,[],,84.42,,buy,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25650PE,11:16:45,155.8,147.15,130,-8.65,-1124.5,-1207.76,-1124.5,-3838.25,zerodha,,40,Panicyy,43.26,11:15:52,t10,[],,83.26,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25350CE,11:19:00,176.35,160.5,130,-15.85,-2060.5,-2147.41,-2060.5,-5898.75,zerodha,,40,Panicyy,46.91,11:17:21,t11,[],,86.91,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-24,NIFTY26FEB25650PE,11:28:13,148.65,144.7,130,-3.95,-513.5,-595.9,-513.5,-6412.25,zerodha,,40,Panicyy,42.4,11:19:10,t12,[],,82.4,,sell,,{},{},[],2026-02-24,{},,,,,,,,,,,,,,,,,
2026-02-19,NIFTY26FEB25850PE,10:11:25,159.25,142.65,130,-16.6,-2158,-2240.63,-2158,-2158,zerodha,,40,,42.63,10:06:03,t1,[],,82.63,,sell,,{},{},[],2026-02-19,{},,"{'/uploads/1ddc38a9-38ca-4b48-89e2-d201433685e1.png': [{'rh': 0.3069306930693069, 'rw': 0.20147874306839186, 'rx': 0.4519408502772643, 'ry': 0.3207920792079208, 'tags': []}], '/uploads/89f72757-b02b-467d-92b3-e857bf8f6506.png': []}",,{},,,,,,,,,,,,,
2026-02-19,NIFTY 24 FEB 25750 PUT,10:15:04,117.2,122.3,65,5.1,331.5,269.65,331.5,-1826.5,dhan,,40,,21.85,10:31:33,t2,[],,61.85,,buy,,{},{},[],2026-02-19,{},2,,,,,,,,,,,,,,,,
2026-02-19,NIFTY26FEB25750CE,10:40:28,117.65,131.225,130,13.575,1764.75,1686.62,1764.75,-61.75,zerodha,,40,,38.13,10:19:43,t3,[],,78.13,,sell,,{},{},[],2026-02-19,{},,{'/uploads/4a81049b-9cdb-44b6-a1a5-ad5a9efa497e.png': []},,{},,,,,,,,,,,,,
2026-02-19,NIFTY26FEB25750CE,11:13:53,119.6,125.95,65,6.35,412.75,350.51,412.75,351,zerodha,,40,,22.24,11:11:37,t4,[],,62.24,,sell,,{},{},[],2026-02-19,{},,,,,,,,,,,,,,,,,
2026-02-19,NIFTY26FEB25700PE,11:36:20,139.95,132.2,130,-7.75,-1007.5,-1087.1,-1007.5,-656.5,zerodha,,40,,39.6,11:33:23,t5,[],,79.6,,sell,,{},{},[],2026-02-19,{},,,,,,,,,,,,,,,,,
2026-02-19,NIFTY26FEB25650PE,12:01:07,133.4,125.85,65,-7.55,-490.75,-553.38,-490.75,-1147.25,zerodha,,40,,22.63,11:59:30,t6,[],,62.63,,sell,,{},{},[],2026-02-19,{},,,,,,,,,,,,,,,,,
2026-02-11,NIFTY2621725950CE,11:16:23,144.3,147.5,65,3.2,208,143.07,208,208,zerodha,1 min pe sell profit fir at me hit&nbsp;,40,,24.93,10:54:54,t1,[],,64.93,,sell,https://youtu.be/YH9hBE8b16c?t=195,{},{},[],2026-02-11,{},,,,,,,,,,,,,,,,,
2026-02-11,NIFTY2621726000CE,11:58:09,112.3,110.5,65,-1.8,-117,-177.6,-117,91,zerodha,,40,,20.6,11:45:07,t2,[],,60.6,,sell,https://youtu.be/YH9hBE8b16c?t=258,{},{},[],2026-02-11,{},,,,,,,,,,,,,,,,,
2026-02-11,NIFTY2621726000PE,11:59:54,129.4,128,65,-1.4,-91,-153.71,-91,0,zerodha,,40,,22.71,11:59:47,t3,[],,62.71,,sell,https://youtu.be/YH9hBE8b16c?t=296,{},{},[],2026-02-11,{},,,,,,,,,,,,,,,,,
2026-02-11,NIFTY2621726000CE,12:13:15,110.25,106.3,65,-3.95,-256.75,-316.91,-256.75,-256.75,zerodha,,40,,20.16,11:59:58,t4,[],,60.16,,sell,https://youtu.be/YH9hBE8b16c?t=373,{},{},[],2026-02-11,{},,,,,,,,,,,,,,,,,
2026-02-11,NIFTY 17 FEB 26000 PUT,12:24:33,135.35,146.2,195,10.85,2115.75,1992.83,2115.75,1859,dhan,,60,,62.92,12:43:21,t5,[],,122.92,,buy,,{},{},[],2026-02-11,{},3,,,,,,,,,,,,,,,,
2026-02-11,NIFTY2621726000CE,12:42:45,91.95,103.3,65,11.35,737.75,678.4,737.75,2596.75,zerodha,,40,,19.35,12:18:13,t6,[],,59.35,,sell,,{},{},[],2026-02-11,{},,,,,,,,,,,,,,,,,
2026-02-11,NIFTY2621726000PE,13:42:53,119.4,140.55,65,21.15,1374.75,1311.18,1374.75,3971.5,zerodha,,40,,23.57,13:19:58,t7,[],,63.57,,sell,,{},{},[],2026-02-11,{},,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 10 FEB 25950 PUT,09:48:03,44.4,44.4,65,0,0,-52.57,0,0,dhan,,40,,12.57,09:48:15,t1,[],,52.57,,buy,,{},{},[],2026-02-10,{},2,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 10 FEB 25950 CALL,10:00:06,44.3,44.2,195,-0.1,-19.5,-82.75,-19.5,-19.5,dhan,,40,,23.25,10:03:03,t2,[],,63.25,,buy,,{},{},[],2026-02-10,{},2,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 17 FEB 25900 CALL,10:03:51,196.8,198.15,65,1.35,87.75,16.61,87.75,68.25,dhan,,40,,31.14,10:21:30,t3,[],,71.14,,buy,,{},{},[],2026-02-10,{},2,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 17 FEB 25950 CALL,10:21:27,168.7,168.2,65,-0.5,-32.5,-100.07,-32.5,35.75,dhan,,40,,27.57,10:21:03,t4,[],,67.57,,sell,,{},{},[],2026-02-10,{},2,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 17 FEB 25950 PUT,11:25:15,137.25,132.75,65,-4.5,-292.5,-355.89,-292.5,-256.75,dhan,,40,,23.39,11:54:21,t5,[],,63.39,,buy,,{},{},[],2026-02-10,{},2,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 10 FEB 25950 PUT,11:55:04,29.85,29.9,65,0.05,3.25,-47.57,3.25,-253.5,dhan,,40,,10.82,11:55:18,t6,[],,50.82,,buy,,{},{},[],2026-02-10,{},2,,,,,,,,,,,,,,,,
2026-02-10,NIFTY2621025950CE,12:18:23,36.6,36.6,65,0,0,-51.62,0,-253.5,zerodha,,40,,11.62,12:18:07,t7,[],,51.62,,sell,,{},{},[],2026-02-10,{},,"{'/uploads/0874fa06-c7a9-4690-8248-d9d3fa15825d.png': [{'rh': 0.1257995735607676, 'rw': 0.07560975609756097, 'rx': 0.2780487804878049, 'ry': 0.3624733475479744, 'tags': ['idea']}], '/uploads/124507c0-0e06-4342-b514-9b6beb390083.png': [{'rh': 0.1513859275053305, 'rw': 0.05917159763313609, 'rx': 0.4378698224852071, 'ry': 0.3049040511727079, 'tags': ['idea']}], '/uploads/3159065d-bedc-4670-ad81-5bc619cf3621.png': [{'rh': 0.11513859275053305, 'rw': 0.0550122249388753, 'rx': 0.21271393643031786, 'ry': 0.17697228144989338, 'tags': ['RuleBased', 'new']}], '/uploads/4e8dd79d-b463-4869-91b9-0aa53502a184.png': [{'rh': 0.1300639658848614, 'rw': 0.14437869822485208, 'rx': 0.15739644970414202, 'ry': 0.18336886993603413, 'tags': ['idea', 'RuleBased', 'darr']}], '/uploads/4f16e719-75b0-4344-90d5-3f19770dbcfa.png': [], '/uploads/62768460-7a9d-40da-a4fb-795d6b3d30e5.png': [{'rh': 0.13432835820895522, 'rw': 0.1288056206088993, 'rx': 0.5971896955503513, 'ry': 0.3390191897654584, 'tags': ['RuleBased']}], '/uploads/79cb0055-33b2-4392-b1f4-bb5c829612f4.png': [{'rh': 0.16844349680170576, 'rw': 0.1378048780487805, 'rx': 0.1524390243902439, 'ry': 0.36673773987206826, 'tags': ['idea', 'CloseButNotExactRule']}], '/uploads/8f0f734c-e51f-4e45-bd29-a693d33604d1.png': [{'rh': 0.15991471215351813, 'rw': 0.11151079136690648, 'rx': 0.24100719424460432, 'ry': 0.2025586353944563, 'tags': ['RuleBased', 'idea', 'new', 'Palat Gaya']}], '/uploads/d07d80d1-d410-4244-b284-1cd36941cca6.png': [{'rh': 0.14925373134328357, 'rw': 0.06610576923076923, 'rx': 0.17908653846153846, 'ry': 0.13859275053304904, 'tags': ['idea']}]}",sselling ki power dekhi,"{'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381530/trading_journal/0874fa06-c7a9-4690-8248-d9d3fa15825d.png': 'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381686/trading_journal/6c821e52-1721-4378-b60c-b3babacde7e1.png', 'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381541/trading_journal/124507c0-0e06-4342-b514-9b6beb390083.png': 'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381909/trading_journal/f84ccf35-6cd2-44c0-9c73-9718a9c7d884.png'}",,,,,,,,,,,,,
2026-02-10,NIFTY2621026000PE,12:22:07,54.3,51.55,65,-2.75,-178.75,-232.26,-178.75,-432.25,zerodha,,40,,13.51,12:19:10,t8,[],,53.51,,sell,,{},{},[],2026-02-10,{},,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 17 FEB 25950 PUT,12:24:03,130.25,126.55,195,-3.7,-721.5,-814.96,-721.5,-1153.75,dhan,,40,,53.46,12:45:19,t9,[],,93.46,,buy,,{},{},[],2026-02-10,{},2,,,,,,,,,,,,,,,,
2026-02-10,NIFTY2621025900CE,12:45:57,71.8,67.5,65,-4.3,-279.5,-334.98,-279.5,-1433.25,zerodha,,40,,15.48,12:25:46,t10,[],,55.48,,sell,,{},{},[],2026-02-10,{},,,,,,,,,,,,,,,,,
2026-02-10,NIFTY 17 FEB 25950 PUT,13:21:03,130,137.6,195,7.6,1482,1361.91,1482,48.75,dhan,,60,,60.09,13:24:02,t11,[],,120.09,,buy,,{},{},[],2026-02-10,{},3,,,,,,,,,,,,,,,,
2026-02-10,NIFTY2621025900CE,13:32:23,32.15,69.85,65,37.7,2450.5,2395.95,2450.5,2499.25,zerodha,,40,,14.55,13:17:53,t12,[],,54.55,,sell,,{},{},[],2026-02-10,{},,,,,,,,,,,,,,,,,
2026-02-26,NIFTY2630225550PE,09:37:14,127.75,127.7,130,-0.05,-6.5,-84.57,-6.5,-6.5,zerodha,"<b>T1
sadsada</b><div><b><u>asdsad</u></b></div><div><b><u>dsasad</u></b></div><div><b><u>adsaddas</u></b></div>",40,,38.07,09:36:40,t1,[],,78.07,,sell,,{},{},[],2026-02-26,{},,"{'/uploads/8bce6a18-e1a7-4ee0-b5b3-133e78700c74.png': [{'rh': 0.2094017094017094, 'rw': 0.09495192307692307, 'rx': 0.17067307692307693, 'ry': 0.25427350427350426, 'tags': []}]}",<h2>sadsadads</h2><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div>,{'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381729/trading_journal/8bce6a18-e1a7-4ee0-b5b3-133e78700c74.png': 'https://res.cloudinary.com/duw7qd8zm/image/upload/v1773381894/trading_journal/f1de66d7-93c5-4cbf-bc6d-783201c48158.png'},,,,,,,,,,,,,
2026-02-26,NIFTY2630225550PE,10:12:50,110.35,126.3,130,15.95,2073.5,1996.7,2073.5,2067,zerodha,T2asad,40,,36.8,10:03:10,t2,[],,76.8,,sell,,{},{},[],2026-02-26,{},,,,,,,{'/uploads/71e34ae5-0394-400c-be54-61d10e4848ce.png': ['/uploads/e0b573fd-877b-4f7c-9542-ae88cc61cd19.png']},,,,,,,,,,
2026-02-26,NIFTY2630225550PE,10:28:22,119.5,114.45,130,-5.05,-656.5,-731.65,-656.5,1410.5,zerodha,,40,,35.15,10:27:32,t3,['bina zone'],,75.15,,sell,,{},{},['bina zone'],2026-02-26,{},,,,,,,,,,,,,,,,,
2026-02-26,NIFTY2630225550CE,10:47:45,130.55,126.6,130,-3.95,-513.5,-591.52,-513.5,897,zerodha,,40,,38.02,10:28:34,t4,[],,78.02,,sell,,{},{},[],2026-02-26,{},,,,,,,,,,,,,,,,,
2026-02-26,NIFTY2630225550PE,10:51:54,119.85,115.8,130,-4.05,-526.5,-601.92,-526.5,370.5,zerodha,adasdas,40,,35.42,10:47:54,t5,[],,75.42,,sell,,{},{},[],2026-02-26,{},,,,,,,,,,,,,,,,,
